"Código (SKU)";"Descrição";"Estoque físico"
"RJXC78";"CAPA RETROV TEXTURIZADA - HILUX 2016> LD";"0,00"
"RJXC87LI";"CAPA RETROV LISA P/PINTURA - HILUX 2016>/ COROLLA CROSS 2020> LE";"0,00"
"RJXC88LI";"CAPA RETROV LISA P/PINTURA - HILUX 2016>/ COROLLA CROSS 2020> LD";"29,00"
"RJXC89CR";"CAPA RETROV CROMADA - HILUX 2016>/ COROLLA CROSS 2020> LE";"0,00"
"RJXC90CR";"CAPA RETROV CROMADA - HILUX 2016>/ COROLLA CROSS 2020> LD";"0,00"
"RJXE01CE";"RETROV EXT C/ELETR ETIOS LE 14> C/PISCA";"0,00"
"RJXE02CE";"RETROV EXT C/ELETR ETIOS LD 14> C/PISCA";"0,00"
"RJXE03CR";"RETROV EXT C/REM ETIOS LE 14>";"0,00"
"RJXE04CR";"RETROV EXT C/REM ETIOS LD 14>";"0,00"
"RJXE05CE";"RETROV EXT C/ELETR ETIOS 14> LE S/PISCA";"0,00"
"RJXE06CE";"RETROV EXT C/ELETR ETIOS 14> LD S/PISCA";"0,00"
"RJXE77FX";"RETROV EXT  HILUX 17> LE FIXO S/PISCA PRETO";"0,00"
"RJXE78FX";"RETROV EXT  HILUX 17> LD FIXO S/PISCA PRETO";"0,00"
"RJXE79FX";"RETROV EXT  HILUX 17> LE FIXO C/PISCA PRETO";"0,00"
"RJXE80FX";"RETROV EXT  HILUX 17> LD FIXO C/PISCA PRETO";"0,00"
"RJXE81CE";"RETROV EXT  HILUX 17> LE CE S/PISCA CROMADO";"0,00"
"RJXE82CE";"RETROV EXT  HILUX 17> LD CE S/PISCA CROMADO";"0,00"
"RJXE83CE";"RETROV EXT C/ELETR HILUX LE 16> C/PISCA - CAPA LISA";"0,00"
"RJXE84CE";"RETROV EXT C/ELETR HILUX LD 16> C/PISCA - CAPA LISA";"0,00"
"RJXE85CE";"RETROV EXT  HILUX 17> LE CE C/PISCA C/FOLDWAY PRETO";"0,00"
"RJXE86CE";"RETROV EXT  HILUX 17> LD CE C/PISCA C/FOLDWAY PRETO";"0,00"
"RJXE86CE1";"RETROV EXT  HILUX 16/18 LD CE S/FOLDWAY CAPA LISA";"0,00"
"RJXE87CE";"RETROV EXT  HILUX 17> LE CE C/PISCA C/FOLDWAY CROMADO";"0,00"
"RJXE88CE";"RETROV EXT  HILUX 17> LD CE C/PISCA C/FOLDWAY CROMADO";"0,00"
"RJXE88CE1";"RETROV EXT  HILUX 16/18 LD CE S/FOLDWAY CAPA CROMADA";"0,00"
"RJXE89CE";"RETROV EXT C/ELETR HILUX LE 16> C/PISCA + POWER FOLD + CAPA CROMADA + LUZ DE SOLO";"0,00"
"RJXE89CE1";"retrov ext  HILUX 17> LE CE C/PISCA C/FOLDWAY C/LUZ DE SOLO CROMADO PISCA FUME";"0,00"
"RJXE90CE";"RETROV EXT C/ELETR HILUX LD 16> C/PISCA - CAPA LISA";"0,00"
"RJXE90CE1";"RETROV EXT HILUX 16> LD C/PISCA CAPA CROMADA PISCA FUME";"0,00"
"RJXM01";"SUBCONJUNTO ETIOS NOVO ELÉTRICO LE";"0,00"
"RJXM02";"SUBCONJUNTO ETIOS NOVO ELÉTRICO LD";"0,00"
"RJXM03";"SUBCONJUNTO ETIOS NOVO C/REMOTO LE";"0,00"
"RJXM04";"SUBCONJUNTO ETIOS NOVO C/REMOTO LD";"30,00"
"RJXM77";"SUBCONJUNTO HILUX 2016> COROLLA CROSS 2020> LE";"0,00"
"RJXM77S";"SUBCONJUNTO HILUX 17> LE S/BASE";"59,00"
"RJXM78";"SUBCONJUNTO HILUX 2016> COROLLA CROSS 2020> LD";"0,00"
"RJXM78S";"SUBCONJUNTO HILUX 17> LD S/BASE";"59,00"
"RJXM87";"SUBCONJUNTO HILUX C/AQUC. 2016> LE";"0,00"
"RJXM87HE";"SUBCONJUNTO HILUX 2016> COROLLA CROSS 2020> C/AQUECEDOR LE";"0,00"
"RJXM88";"SUBCONJUNTO HILUX C/AQUC. 2016> LD";"0,00"
"RJXM88HE";"SUBCONJUNTO HILUX 2016> COROLLA CROSS 2020> C/AQUECEDOR LD";"0,00"
"RJYC23";"CAPA RETROV YARIS LE";"0,00"
"RJYC23COLOR";"CAPA RETROV YARIS LE COLOR";"590,00"
"RJYC23LI";"CAPA RETROV LISA P/PINTURA - YARIS LE";"0,00"
"RJYC24";"CAPA RETROV YARIS LD";"0,00"
"RJYC24COLOR";"CAPA RETROV YARIS LD COLOR";"508,00"
"RJYC24LI";"CAPA RETROV LISA P/PINTURA - YARIS LD";"0,00"
"RJYE21CE";"RETROV EXT C/ELETR YARIS C/PISCA LE";"0,00"
"RJYE22CE";"RETROV EXT C/ELETR YARIS C/PISCA LD";"0,00"
"RJYE23CE";"RETROV EXT C/ELETR YARIS C/PISCA + FECHAMENTO LE";"0,00"
"RJYE24CE";"RETROV EXT C/ELETR YARIS C/PISCA + FECHAMENTO LD";"0,00"
"RJYM21";"SUBCONJUNTO YARIS LE";"0,00"
"RJYM22";"SUBCONJUNTO YARIS LD";"0,00"
"RKYC49LI";"CAPA RETROV LISA P/ PINTURA - KICKS 2017> S/ FURO P/PISCA LE";"0,00"
"RKYC50LI";"CAPA RETROV LISA P/ PINTURA - KICKS 2017> S/ FURO P/PISCA LE";"0,00"
"RKYC51LI";"CAPA RETROV LISA P/ PINTURA - KICKS 2017> C/FURO P/PISCA LE";"0,00"
"RKYC52LI";"CAPA RETROV LISA P/ PINTURA - KICKS 2017> C/FURO P/PISCA LD";"0,00"
"RKYE49CE";"RETROV EXT C/ELETR KICKS LE";"0,00"
"RKYE50CE";"RETROV EXT C/ELETR KICKS LD";"0,00"
"RKYE51CE";"RETROV EXT C/ ELETR KICKS C/PISCA LE";"0,00"
"RKYE52CE";"RETROV EXT C/ ELETR KICKS C/PISCA LD";"0,00"
"RKYE53CE";"RETROV EXT C/ELETR KICKS C/PISCA + POWER FOLD (FECHAMENTO) + CAMERA LE";"2,00"
"RKYE54CE";"RETROV EXT C/ELETR KICKS C/PISCA + POWER FOLD (FECHAMENTO) + CAMERA LD";"2,00"
"RKYM49";"SUBCONJUNTO NISSAN KICKS 17> LE";"7.791,00"
"RKYM50";"SUBCONJUNTO NISSAN KICKS 2017> LD";"8.152,00"
"RKZE14CE";"RETROV EXT C/ELETR FRONTIER 2019> C/CAPA PRETA TEXTURIZADA LD";"0,00"
"RKZE15CE";"RETROV EXT C/ELETR FRONTIER 2019> C/CAPA PRETA TEXTURIZADA LE";"0,00"
"RKZE16CE";"RETROV EXT C/ELETR FRONTIER 2019> C/CAPA CROMADA FOLD WAY C/PISCA LD";"0,00"
"RKZE17CE";"RETROV EXT C/ELETR FRONTIER 2019> C/CAPA CROMADA FOLD WAY C/PISCA LE";"0,00"
"RKZE18CE";"RETROV EXT C/ELETR FRONTIER 2019> C/CAPA CROMADA FOLD WAY C/PISCA COM CAMERA LD";"11,00"
"RKZE19CE";"RETROV EXT C/ELETR FRONTIER 2019> C/CAPA CROMADA FOLD WAY C/PISCA COM CAMERA LE";"9,00"
"RKZE22FX";"RETROV EXT FIXO FRONTIER 2019> C/CAPA PRETA TEXTURIZADA LD";"0,00"
"RKZE23FX";"RETROV EXT FIXO FRONTIER 2019> C/CAPA PRETA TEXTURIZADA LE";"0,00"
"RKZM14";"LENTE RETROV FRONTIER 19> LD";"0,00"
"RKZM15";"LENTE RETROV FRONTIER 19> LE";"0,00"
"RM0I44PL";"RETROV INT ONIBUS MB 0-370 89> PLANO";"11,00"
"RM1I52PR";"RETROV INT SPRINTER 95> PRISMATICO";"0,00"
"RM20F4200";"RETROV EXT MERCEDES 914 LD";"0,00"
"RM5E27C";"SUBCONJUNTO CAMINHAO MB 712C/914C 98/00 LD/LE CAPA COMPLETA";"0,00"
"RM5E79CC";"CONJUNTO CAPA (CONVEXO)";"0,00"
"RMFB43";"LENTE RETROV CAMINHAO MERCEDES";"0,00"
"RMHE97CE";"RETROV EXT  CLASSE A 99/05 LE CE";"0,00"
"RMHE98CE";"RETROV EXT  CLASSE A 99/05 LD CE";"0,00"
"RMKE47CC";"RETROV EXT MB 1218/1418/1620 (SERIE BRASIL) 00> LE VIDRO DUPLO CONJUNTO COMPLETO";"0,00"
"RMKE48CC";"RETROV EXT MB 1218/1418/1620 (SERIE BRASIL) 00> LD VIDRO INT.EIRICO CONJUNTO COMPLETO";"0,00"
"RMKE50CC";"RETROV EXT MBB - LTC";"0,00"
"RMKE54CCHE";"RETROV EXT LTC";"0,00"
"RMME40FX";"RETROV EXT SPRINT.ER 97/00 LD FIXO";"0,00"
"RMME41FX";"RETROV EXT SPRINT.ER 97/00 LE FIXO";"0,00"
"RMWC76";"CAPA RETROV TEXTURIZADA - MERCEDES BENZ VITO LD";"36,00"
"RMWC77";"CAPA RETROV TEXTURIZADA - MERCEDES BENZ VITO LE";"26,00"
"RMWE76FX";"RETROV EXT FIXO VITO 2017>LD";"24,00"
"RMWE77FX";"RETROV EXT FIXO VITO 2017>LE";"18,00"
"RMWM76";"SUBCONJUNTO MERCEDES BENZ VITO LD";"2,00"
"RMWM77";"SUBCONJUNTO MERCEDES BENZ VITO LE";"0,00"
"RNIC253";"RETROV INT COM CAMERA DIVERSOS";"0,00"
"RNIC253C";"RETROV INT COM CAMERA DIVERSOS";"0,00"
"RP20X3450PRI";"retrov ext  C4 PALLACE LD CE CAPA PRIMER";"2,00"
"RP20X3550PRI";"RETROV EXT  C4 PALLACE LE CE CAPA PRIMER";"18,00"
"RPRE24CR";"RETROV EXT PEUGEOT 307 06/11 LD CR";"0,00"
"RPRE25CE";"RETROV EXT PEUGEOT 307 06/11 LE CE";"0,00"
"RPRE26CE";"RETROV EXT PEUGEOT 307 06/11 LD CE";"0,00"
"RPTC50";"CAPA RETROV TEXTURIZADA - CITROEN C 3 PICASSO/ AIR CROS LD";"0,00"
"RPTC50COLOR";"CAPA RETROV CITROEN AIR CROSS 11> LD COLOR";"1.126,00"
"RPTC50LI";"CAPA RETROV CITROEN AIR CROSS 11> LD LISA";"440,00"
"RPTC51";"CAPA RETROV TEXTURIZADA - CITROEN C 3 PICASSO/ AIR CROS LE";"0,00"
"RPTC51COLOR";"CAPA RETROV CITROEN AIR CROSS 11> LE COLOR";"17,00"
"RPTC51LI";"CAPA RETROV CITROEN AIR CROSS 11> LE LISA";"698,00"
"RPTC52LI";"CAPA RETROV CITROEN AIR CROSS 11> LD LISA";"0,00"
"RPTC53LI";"CAPA RETROV CITROEN AIR CROSS 11> LE LISA";"0,00"
"RPTE86CE";"RETROV EXT C/ELETR PEUGEOT 308/408 LD";"0,00"
"RPTE87CE";"RETROV EXT C/ELETR PEUGEOT 308/408 LE";"9,00"
"RPTE88CE";"RETROV EXT C/ELETR PEUGEOT 308/408 LD C/FOLDWAY (FECHAMENTO ELETRICO)";"9,00"
"RPTE89CE";"RETROV EXT C/ELETR PEUGEOT 308/408 LE C/ FOLDWAY ( FECHAMENTO ELETRICO)";"9,00"
"RPTM50";"SUBCONJUNTO CITROEN AIR CROSS/ C3 PICASSO/ C4/  PEUGEOT 308/408 LD";"22.629,00"
"RPTM51";"SUBCONJUNTO CITROEN AIR CROSS/ C3 PICASSO/ C4/  PEUGEOT 308/408 LE";"21.358,00"
"RPUE84CE";"RETROV EXT C/ELETR CITROEN C3 2013> LD";"0,00"
"RPUE85CE";"RETROV EXT C/ELETR CITROEN C3 2013> LE";"0,00"
"RPVE94CE";"RETROV EXT C/ELETR CITROEN C3 PICASSO - AIR CROSS LD";"0,00"
"RPVE95CE";"RETROV EXT C/ELETR CITROEN C3 PICASSO - AIR CROSS LE";"0,00"
"RPWM63";"LENTE RETROV C4 12> LE - PG 308 C/SENSOR";"191,00"
"RPWM64";"LENTE RETROV C4 12> LD - PG 308 C/SENSOR";"120,00"
"RPXE07CE";"RETROV EXT C/ELETR CITROEN C4 LOUNGE LE";"0,00"
"RPXE07CECOLOR";"RETROV EXT  PEUGEOT LE CE COLOR";"13,00"
"RPXE08CE";"RETROV EXT C/ELETR CITROEN C4 LOUNGE LD C/SENSOR DE TEMPERATURA";"0,00"
"RPXE08CECOLOR";"RETROV EXT C/ELETR CITROEN C4 LOUNGE LD C/SENSOR DE TEMP COLOR";"23,00"
"RPXE09CE";"RETROV EXT C/ELETR CITROEN C4 LOUNGE C/FOLDWAY LE";"0,00"
"RPXE09CECOLOR";"RETROV EXT PEUGEOT LE CE C/FOLDWAY COLOR";"0,00"
"RPXE10CE";"RETROV EXT C/ELETR CITROEN C4 LOUNGE C/FOLDWAY LD C/SENSOR DE TEMPERATURA";"0,00"
"RPXE10CECOLOR";"retrov ext  C4 12> LD CE C/FOLD COLOR";"45,00"
"RPXE11CE";"RETROV EXT C/ELETR CITROEN C4 LOUNGE C/FOLDWAY LE C/SENSOR DE PONTO CEGO";"0,00"
"RPXE12CE";"RETROV EXT C/ELETR CITROEN C4 LOUNGE C/FOLDWAY LD C/SENSOR DE PONTO CEGO";"15,00"
"RQ20X7150";"RETROV EXT RCHERRY CELER 13/14 LE CE";"0,00"
"RQ20X7250";"RETROV EXT RCHERRY CELER 13/14 LD CE";"0,00"
"RS20X9231";"SUBCONJUNTO TROLLER LD C/ MARCA ESCRITA";"0,00"
"RT0I32PL";"RETROV INT PLANO FIORINO 80>90";"0,00"
"RT0I59PR";"RETROV INT PRISMAT UNO/ ELBA/ CITY 85>TEMPRA 92>93";"24,00"
"RT0I66PR";"RETROV INT PRISMAT FIORINO 80>90";"0,00"
"RT1I14PR";"RETROV INT FIORINO 91/96 PRISMATICO";"0,00"
"RT1I21PR";"RETROV INT PRISMAT PALIO/ WEEKEND/ STRADA/ SIENA 01 >03";"0,00"
"RT1I22PL";"RETROV INT PLANO UNO MILLE 90>";"0,00"
"RT1I29PR";"RETROV INT PRISMAT TORO/ RENEGADE";"23,00"
"RT1I30PR";"RETROV INT PRISMAT PALIO/ WEEKEND/ STRADA/SIENA 96>00";"0,00"
"RT1I32PR";"RETROV INT ARGO/CRONOS PRISMATICO";"0,00"
"RT1I34PR";"RETROV INT PRISMAT MOBI/ ARGO/ CRONOS/ STRADA NOVA";"12,00"
"RT1I72EC";"RETROV INT MAREA 98> ELETROCROMICO";"3,00"
"RT1I84PR";"RETROV INT PRISMAT PALIO/ WEEKEND/ STRADA/ SIENA 04>";"0,00"
"RT1I98EC";"RETROV INT MAREA 99> ELETROCROMICO";"9,00"
"RT4E53FX";"RETROV EXT FIXO UNO MILLE 2pts. LE 90>";"0,00"
"RT4E56FX";"RETROV EXT FIXO UNO MILLE 2pts. LD 90>";"0,00"
"RT4E61CR";"RETROV EXT UNO 85/88 LE CR";"0,00"
"RT5E52CR";"RETROV EXT UNO 85/88 LD CR";"0,00"
"RT8E47FX";"RETROV EXT UNO 85/88 LE FIXO";"0,00"
"RT8E48FX";"RETROV EXT UNO 85/88 LD FIXO";"0,00"
"RTAEJ4CE";"RETROV EXT C/ELETR JEEP Commader 2021>c/pisca+FoldWay+apli.Croma/Luz de solo lente esférica grav. ""JEEP"" e ponto cego LD";"1,00"
"RTAEJ5CE";"RETROV EXT C/ELETR JEEP Commader 2021>c/pisca+FoldWay+apli.Croma/Luz de solo lente esférica grav. ""JEEP"" e ponto cego LE";"0,00"
"RTAEJ6CE";"RETROV EXT C/ELETR PULSE C/PISCA + SENSOR LD";"0,00"
"RTAEJ7CE";"RETROV EXT C/ELETR FIAT PULSE C/PISCA  LE";"2,00"
"RTAEJ8CE";"RETROV EXT C/ELETR PULSE C/PISCA + SENSOR + FOLDWAY + TILDOOW + LUZ DE SOLO LD";"0,00"
"RTAEJ9CE";"RETROV EXT C/ELETR PULSE C/PISCA + FOLDWAY + LUZ DE SOLO LE";"0,00"
"RTAEK6CR";"RETROV EXT STRADA 2020>  LD CR";"0,00"
"RTAEK7CR";"RETROV EXT C/REM NOVA STRADA 2020> LE";"0,00"
"RTAEK8CE";"RETROV EXT C/ELETR NOVA STRADA 2020> C/PISCA E TILT DOWN LD";"0,00"
"RTAEK9CE";"RETROV EXT C/ELETR NOVA STRADA 2020> C/PISCA LE";"0,00"
"RTAEQ0CE";"RETROV EXT JEEP COMPASS C/FOLD SENS LUZ SOLO CE LD";"0,00"
"RTAEQ1CE";"RETROV EXT JEEP COMPASS C/FOLD SENS LUZ SOLO CE LE";"5,00"
"RTAEY0CE";"RETROV EXT C/ELETR JEEP COMPASS 2021> C/PISCA - LENTE ASFÉRICA GRAVAÇÃO ""JEEP"" LD";"0,00"
"RTAEY1CE";"RETROV EXT C/ELETR JEEP COMPASS 2021> C/PISCA - LENTE ASFÉRICA GRAVAÇÃO ""JEEP"" LE";"0,00"
"RTAEY2CE";"RETROV EXT C/ELETR JEEP COMPASS 2021> C/PISCA + FOLD WAY + APLIQUE CROMADO-LUZ DE SOLO LENTE ASFÉRICA GRAVAÇÃO ""JEEP"" LD";"0,00"
"RTAEY3CE";"RETROV EXT C/ELETR JEEP COMPASS 2021> C/PISCA + FOLD WAY + APLIQUE CROMADO-LUZ DE SOLO LENTE ASFÉRICA GRAVAÇÃO ""JEEP"" LE";"0,00"
"RTAMJ4";"SUBCONJUNTO JEEP COMPASS 20> LD C/SENSOR";"1,00"
"RTAMJ5";"SUBCONJUNTO JEEP COMPASS 20> LE C/SENSOR";"18,00"
"RTAMJ6G";"SUBCONJUNTO FIAT PULSE 21> LD C/MARCA";"60,00"
"RTAMJ7G";"SUBCONJUNTO FIAT PULSE 21> LE C/MARCA";"62,00"
"RTBEB4CE";"RETROV EXT JEEP COMPASS C/FOLD S/SENSOR S/ LUZ SOLO CE LD";"0,00"
"RTBEB5CE";"RETROV EXT JEEP COMPASS C/FOLD S/SENSOR S/ LUZ SOLO CE LE";"1,00"
"RTDE60FX";"RETROV EXT FIXO PALIO/ STRADA 2pts. LD 96>00";"0,00"
"RTDE61FX";"RETROV EXT FIXO PALIO/ STRADA 2pts. LE 96>00";"4,00"
"RTDE62CR";"RETROV EXT C/REM PALIO/STRADA 2pts. LD 96>00";"0,00"
"RTDE63CR";"RETROV EXT C/REM PALIO/ STRADA 2pts. LD 96>00";"0,00"
"RTEE33CE";"RETROV EXT PALIO 04/07 2P LD CE";"0,00"
"RTEE34CR";"RETROV EXT C/REM PALIO/ WEEKEND/ SIENA 4pts. LD 96>00";"0,00"
"RTEE35CR";"RETROV EXT C/REM PALIO/WEEKEND/SIENA 4 PTS LE 96>00";"0,00"
"RTEE39FX";"RETROV EXT FIXO PALIO/ WEEKEND/ SIENA 4pts. LE 96>00";"0,00"
"RTEM34";"SUBCONJUNTO PALIO 96>00 LD";"0,00"
"RTEM35";"SUBCONJUNTO PALIO 96>00 LE";"0,00"
"RTFE15CR";"RETROV EXT C/REM UNO 2/4 pts. LE 89>";"0,00"
"RTFE16CR";"RETROV EXT C/REM UNO 2/4 pts. LD 89>";"0,00"
"RTHE03CR";"RETROV EXT C/REM FIORINO LE 97>";"0,00"
"RTHE04CR";"RETROV EXT C/REM FIORINO LD 97>";"0,00"
"RTHE06FX";"RETROV EXT FIXO PALIO/ WEEKEND/ SIENA 4pts. LD 96>00";"1,00"
"RTHE17FX";"RETROV EXT FIXO FIORINO LE 97>";"23,00"
"RTHE18FX";"RETROV EXT FIXO FIORINO LD 97>";"0,00"
"RTHE56CR";"RETROV EXT PALIO 96/00 LD CR 2PTS INDY";"0,00"
"RTHE63CR";"RETROV EXT PALIO 96/00 LE CR 4PTS INDY";"0,00"
"RTHE64FX";"RETROV EXT PALIO 96/00 LD FIXO 4PTS INDY";"0,00"
"RTHE65FX";"RETROV EXT PALIO 96/00 LE FIXO 4PTS INDY";"0,00"
"RTIC245";"RETROV INT COM CAMERA DIVERSOS";"0,00"
"RTIC245C";"RETROV INT COM CAMERA DIVERSOS";"0,00"
"RTMC06LI";"CAPA RETROV PALIO 01/03 LD";"0,00"
"RTMC07LI";"CAPA RETROV PALIO 01/03 LE";"0,00"
"RTME28FX";"RETROV EXT FIXO PALIO/ STRADA 2pts. LD 01>";"0,00"
"RTME29FX";"RETROV EXT FIXO PALIO/STRADA 2 PTS LE 01>";"0,00"
"RTME30CR";"RETROV EXT C/REM PALIO/STRADA 2 PTS LD 01>";"0,00"
"RTME31CR";"RETROV EXT C/REM PALIO/STRADA 2 PTS LE 01>";"0,00"
"RTME34FX";"RETROV EXT PALIO 01/03 4P LD FIXO";"0,00"
"RTME36CR";"RETROV EXT C/REM PALIO/ WEEKEND/ SIENA 4pts. LD 01>";"7,00"
"RTME37CR";"RETROV EXT C/REM PALIO/ WEEKEND/ SIENA 4pts. LE 01>";"0,00"
"RTME48FX";"RETROV EXT FIXO UNO FIRE 2 PTS. LD 01>05";"0,00"
"RTME49FX";"RETROV EXT FIXO UNO FIRE 2 PTS. LE 01>05";"2,00"
"RTME50CR";"RETROV EXT C/REM UNO FIRE 2 PTS LD 01>05";"41,00"
"RTME51CR";"RETROV EXT C/REM UNO FIRE 2 PTS LE 01>05";"0,00"
"RTME52FX";"RETROV EXT FIXO UNO FIRE 4 PTS. LD 01>05";"33,00"
"RTME53FX";"RETROV EXT FIXO UNO FIRE 4 PTS. LE 01>05";"0,00"
"RTME54CR";"RETROV EXT C/REM UNO FIRE 4 PTS LD 01>05";"0,00"
"RTME55CR";"RETROV EXT C/REM UNO FIRE 4 PTS LE 01>05";"0,00"
"RTMM02";"SUBCONJUNTO PALIO 01>03 LD";"0,00"
"RTMM03";"SUBCONJUNTO PALIO 01>03 LE";"0,00"
"RTNC79";"CAPA RETROV TEXTURIZADA - PALIO 04>08 LE";"0,00"
"RTNC80";"CAPA RETROV TEXTURIZADA - PALIO 04>08 LD";"0,00"
"RTNC91";"CAPA RETROV TEXTURIZADA - IDEA ANTIGA LE";"0,00"
"RTNC91LI";"CAPA RETROV IDEA 05/10 LE LISA";"0,00"
"RTNC92";"CAPA RETROV TEXTURIZADA - IDEA ANTIGA LD";"0,00"
"RTNC92LI";"CAPA RETROV IDEA 05/10 LE LISA";"0,00"
"RTNE67FX";"RETROV EXT FIXO PALIO/WEEKEND/SIENA 2 PTS LE 2004>2007";"0,00"
"RTNE68FX";"RETROV EXT FIXO PALIO/WEEKEND/SIENA 2 PTS LD 2004>2007";"6,00"
"RTNE69CR";"RETROV EXT C/REM PALIO/STRADA 2 PTS LE 2004>2007";"0,00"
"RTNE70CR";"RETROV EXTC/REM PALIO/STRADA 2 PTS LD 2004>2007";"0,00"
"RTNE74CE";"RETROV EXT PALIO 04/07 LD CE 2P";"1,00"
"RTNE75FX";"RETROV EXT FIXO PALIO/WEEKEND/SIENA 4 PTS LE 2004>2007";"0,00"
"RTNE76FX";"RETROV EXT FIXO PALIO/WEEKEND/SIENA 4 PTS LD 2004>2007";"0,00"
"RTNE77CR";"RETROV EXT FIXO PALIO/WEEKEND/SIENA 4 PTS LE 2004>2007";"0,00"
"RTNE78CR";"RETROV EXT FIXO PALIO/WEEKEND/SIENA 4 PTS LD 2004>2007";"0,00"
"RTNE91CR";"RETROV EXT C/REM IDEA LE 2005>2010";"0,00"
"RTNE91CRCOLOR";"RETROV EXT  IDEA 05/10 LE CR S/SENSOR COL";"0,00"
"RTNE92CR";"RETROV EXT C/REM IDEA LD 2005>2010";"1,00"
"RTNE93CR";"RETROV EXT  IDEA 05/10 LE CR";"0,00"
"RTNE94CE";"RETROV EXT C/ELETR IDEA LD 2005>2010";"0,00"
"RTNE95CE";"RETROV EXT C/ELETR IDEA LE 05>10";"0,00"
"RTNM75";"SUBCONJUNTO PALIO 04>10 LE";"26,00"
"RTNM76";"SUBCONJUNTO PALIO 04>10 LD";"0,00"
"RTNM91";"LENTE RETROV IDEA 05/10 LE";"0,00"
"RTNM92";"LENTE RETROV IDEA 05/10 LD";"0,00"
"RTRE07FX";"RETROV EXT FIXO UNO FIRE FLEX 2pts. LE 2006>";"0,00"
"RTRE08FX";"RETROV EXT FIXO UNO FIRE FLEX 2pts. LD 2006>";"0,00"
"RTRE09CR";"RETROV EXT STRADA 08> 2 PORTAS LE CR";"0,00"
"RTRE09FX";"RETROV EXT FIXO UNO FIRE FLEX 4pts. LE 2006>";"0,00"
"RTRE10FX";"RETROV EXT FIXO UNO FIRE FLEX 4pts. LD 2006>";"0,00"
"RTRE11CR";"RETROV EXT C/REM UNO FIRE FLEX 2pts. LE 2006>";"0,00"
"RTRE12CR";"RETROV EXT C/REM UNO FIRE FLEX 2pts. LD 2006>";"0,00"
"RTRE13CR";"RETROV EXT C/REM UNO FIRE FLEX 4pts. LE 2006>";"0,00"
"RTRE14CR";"RETROV EXT C/REM UNO FIRE FLEX 4pts. LD 2006>";"0,00"
"RTRE95CE";"RETROV EXT C/ELETR IDEA ADVENTURE LE 2006>2010 C/PISCA";"0,00"
"RTRE96CE";"RETROV EXT C/ELETR IDEA ADVENTURE LD 2006>2010 C/PISCA";"0,00"
"RTRE97FX";"RETROV EXT FIXO PALIO/STRADA 2pts. LE 2008 > 2010";"0,00"
"RTRE98FX";"RETROV EXT FIXO PALIO/STRADA 2pts. LD 2008 > 2010";"0,00"
"RTRE99CR";"RETROV EXT C/REM PALIO/STRADA  2pts. LE 2008 > 2010";"0,00"
"RTRM95";"LENTE RETROV IDEA ADVENTURE 05/10 LE";"0,00"
"RTRM96";"LENTE RETROV IDEA ADVENTURE 05/10 LD";"0,00"
"RTSE00CR";"RETROV EXT C/REM PALIO/STRADA  2pts. LD 2008 > 2010";"0,00"
"RTSE01FX";"RETROV EXT FIXO PALIO/WEEKEND/ SIENA 4pts. LE 2008>2010";"43,00"
"RTSE02FX";"RETROV EXT FIXO PALIO/WEEKEND/ SIENA 4pts. LD 2008>2010";"19,00"
"RTSE03CR";"RETROV EXT C/REM PALIO/WEEKEND/ SIENA 4pts. LE 2008>2010";"0,00"
"RTSE04CR";"RETROV EXT C/REM PALIO/WEEKEND/ SIENA 4pts. LD 2008>2010";"1,00"
"RTSE58CE";"RETROV EXT C/ELETR PALIO/WEEKEND/ SIENA 4pts. LD 2008>2010";"2,00"
"RTSE59CE";"RETROV EXT C/ELETR PALIO/WEEKEND/ SIENA 4pts. LE 2008>2010";"0,00"
"RTSE67CR";"RETROV EXT PALIO 08> 2PTS LE CR C/SENSOR";"37,00"
"RTTE08CR";"RETROV EXT C/REM STRADA ADVENTURE LOCKER 2008>2010 LD";"0,00"
